location,category,itemname,open_qty,qty_in_stock,cost_price,selling_price,totalcost
"MODERN DREAM A","ACCESSORIES","1G 2WAY ZWL",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","1W LED BULB ADAMS",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2 IN1 COB LED LIGHT V-TAC",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","2.5X4MM IEKO",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","20AMP DP SWITCH SMART PANASONIC",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","20MM CLIP SADDLE PRECISE",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","20MM PLASTIC TUBE V-LITE",0,1,150.00,150.00,0.00
"MODERN DREAM A","ACCESSORIES","20W 2U ENERGY BULB RS",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","20W CONDUIT LAMBADA",0,0,60.00,60.00,0.00
"MODERN DREAM A","ACCESSORIES","20W CONDUIT(WM) S1",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","20W DOWNLIGHT LED VETO CONDUIT",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","20W ENERGY BULB HOME",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","20W FRESH LED LIGHT MODI",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","20W LED  DOWNLIGHT V-TAC",0,0,90.00,90.00,0.00
"MODERN DREAM A","ACCESSORIES","20W LED BULB V-TAC",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","20W LED CONDUIT DOWNLITE V-TAC",0,0,120.00,120.00,0.00
"MODERN DREAM A","ACCESSORIES","21W 2D BULB BL",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","21W 2D BULB BLUE",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","21W 2D BULB OSRAM",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","22W BULB CIRCULAR",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","22W CIRCULAR BULB(NORMAL)",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","22W COND LED LIGHT S-CLASS",0,0,70.00,70.00,0.00
"MODERN DREAM A","ACCESSORIES","22W LED COND COB 2IN1 V-TAC",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","22W LED LIGHT GOLD SERIES V-TAC",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","22W LED LIGHT XAMTAI",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","22W LED SURFACE S-CLASS",0,0,70.00,70.00,0.00
"MODERN DREAM A","ACCESSORIES","22W OUBO LIGHTING",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","22W SURFACE LED LIGHT XAMTAI",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","23W BULB PHILIPS 3U(B22)",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","23W ENERGY BULB GE",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","23W ENERGY BULB PHILIPS",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","23W SURF LED LIGHT PHILIPS",0,0,0.00,0.00,0.00
"MODERN DREAM A","ACCESSORIES","24 INCH INDUSTRAL FAN WALL RR",0,0,1800.00,1800.00,0.00
